!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2025-06-13 13:13:52

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151/1

[DEVICE]
SAM_8166

# Correlated color temperature (K)
[LAMP_CCT]
2977.5

# wavelength (nm)	bandwidth (nm)	irradiance (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
13	347.66	1.530864	2.22	0.019920	0.026508	1368.35	1.00	1369.66	1.73
14	350.94	1.500003	2.18	0.020052	0.026717	1451.30	0.83	1456.16	1.52
15	354.22	1.433776	2.23	0.019913	0.026889	1513.00	0.99	1514.56	2.04
16	357.49	1.362070	2.18	0.020035	0.027164	1563.25	0.84	1561.96	1.78
17	360.77	1.299085	2.18	0.019916	0.027115	1610.75	0.70	1609.96	1.87
18	364.05	1.252850	2.18	0.020030	0.026517	1673.15	0.89	1672.66	1.74
19	367.34	1.224882	2.18	0.019916	0.026808	1759.25	0.83	1758.86	2.20
20	370.62	1.224144	2.15	0.020038	0.026803	1885.50	0.78	1886.26	2.00
21	373.90	1.245155	2.14	0.019911	0.026778	2056.75	1.11	2056.96	1.46
22	377.18	1.289657	2.13	0.020049	0.027088	2278.35	0.98	2279.16	1.89
23	380.46	1.357510	2.12	0.019914	0.026808	2565.90	0.87	2565.26	2.02
24	383.75	1.445342	2.13	0.020040	0.026911	2912.40	0.88	2914.86	1.91
25	387.03	1.543836	2.11	0.019905	0.026857	3328.75	0.89	3326.56	1.66
26	390.31	1.662868	2.09	0.020040	0.027297	3813.65	0.80	3813.76	2.25
27	393.60	1.798824	1.95	0.019911	0.026915	4373.65	0.96	4377.46	1.84
28	396.88	1.927068	1.81	0.020023	0.026937	4975.70	0.79	4976.66	2.30
29	400.17	2.048086	1.71	0.019914	0.026718	5603.75	0.89	5603.26	2.25
30	403.46	2.168612	1.71	0.020041	0.026587	6261.70	1.00	6267.16	2.15
31	406.74	2.269859	1.70	0.019918	0.027182	6919.55	1.10	6926.36	1.72
32	410.03	2.347731	1.69	0.020028	0.026532	7546.15	1.13	7554.76	1.88
33	413.32	2.395683	1.70	0.019897	0.026763	8119.05	1.19	8125.56	2.09
34	416.60	2.413991	1.69	0.020044	0.026973	8618.35	1.14	8621.16	1.80
35	419.89	2.408981	1.68	0.019916	0.026606	9036.35	0.97	9041.76	2.22
36	423.18	2.383201	1.68	0.020037	0.026909	9381.60	0.96	9390.56	2.00
37	426.47	2.336612	1.68	0.019910	0.026762	9649.45	1.08	9658.66	1.74
38	429.76	2.281969	1.67	0.020045	0.027043	9868.35	1.08	9881.46	1.88
39	433.05	2.220526	1.68	0.019914	0.026897	10056.55	1.08	10065.86	2.06
40	436.34	2.165387	1.67	0.020036	0.026666	10241.40	1.32	10255.96	2.13
41	439.63	2.109731	1.66	0.019910	0.027006	10434.20	1.35	10442.16	1.90
42	442.92	2.062576	1.67	0.020041	0.026892	10655.45	1.15	10665.96	1.80
43	446.21	2.021215	1.66	0.019912	0.026555	10901.05	1.12	10913.26	1.96
44	449.50	1.986997	1.66	0.020031	0.026709	11182.95	1.24	11194.36	2.18
45	452.79	1.962497	1.66	0.019902	0.026636	11496.20	1.11	11507.26	1.77
46	456.09	1.945527	1.66	0.020038	0.026756	11843.05	1.44	11856.56	1.95
47	459.38	1.937081	1.65	0.019922	0.026769	12238.80	1.41	12257.06	1.79
48	462.67	1.933152	1.65	0.020027	0.026589	12686.00	1.19	12701.96	2.12
49	465.96	1.941553	1.65	0.019896	0.026921	13206.85	1.20	13228.96	1.89
50	469.26	1.953948	1.65	0.020034	0.026385	13781.60	1.41	13802.66	2.11
51	472.55	1.976843	1.65	0.019902	0.026739	14434.70	1.42	14458.96	1.79
52	475.84	2.005146	1.65	0.020025	0.026741	15148.95	1.29	15174.86	2.12
53	479.14	2.041836	1.64	0.019896	0.026414	15944.60	1.33	15974.66	1.52
54	482.43	2.083419	1.64	0.020016	0.026661	16803.90	1.26	16843.36	1.94
55	485.72	2.130367	1.64	0.019908	0.026621	17753.30	1.57	17795.66	1.95
56	489.02	2.182578	1.64	0.020030	0.026602	18771.20	1.48	18820.96	2.09
57	492.31	2.240699	1.64	0.019911	0.026302	19872.15	1.55	19925.26	2.47
58	495.61	2.301051	1.64	0.020033	0.026679	21016.85	1.39	21077.26	1.95
59	498.90	2.360835	1.64	0.019905	0.026868	22180.40	1.50	22254.76	2.39
60	502.20	2.411016	1.64	0.020020	0.026820	23322.95	2.01	23407.96	2.55
61	505.49	2.450051	1.64	0.019893	0.026775	24414.55	1.96	24504.66	2.57
62	508.79	2.477963	1.63	0.020037	0.026588	25419.45	1.57	25515.36	2.54
63	512.08	2.498945	1.63	0.019910	0.026874	26327.90	1.96	26437.66	2.81
64	515.38	2.512101	1.63	0.020039	0.026790	27158.50	1.82	27277.66	2.10
65	518.68	2.516058	1.63	0.019916	0.026642	27901.25	1.90	28027.46	2.67
66	521.97	2.510322	1.63	0.020023	0.026825	28563.55	1.68	28692.96	2.73
67	525.27	2.494140	1.63	0.019900	0.026833	29103.55	1.97	29241.96	2.57
68	528.56	2.468333	1.63	0.020030	0.026739	29526.90	2.27	29671.36	2.67
69	531.86	2.437707	1.63	0.019911	0.026530	29863.70	2.00	30014.86	2.54
70	535.16	2.408901	1.63	0.020041	0.026719	30195.45	2.12	30354.16	3.26
71	538.45	2.373445	1.63	0.019914	0.026717	30431.35	1.94	30594.56	2.68
72	541.75	2.338473	1.63	0.020039	0.026748	30669.45	2.07	30834.86	3.11
73	545.05	2.300279	1.63	0.019904	0.026749	30844.75	2.03	31016.96	2.80
74	548.34	2.260272	1.63	0.020021	0.026746	30978.35	2.06	31154.56	2.80
75	551.64	2.220152	1.62	0.019905	0.026620	31085.50	2.04	31266.56	3.34
76	554.94	2.182600	1.60	0.020039	0.026863	31211.65	2.05	31394.86	2.55
77	558.23	2.146085	1.58	0.019910	0.026837	31314.45	2.03	31507.76	2.13
78	561.53	2.112446	1.58	0.020029	0.026372	31440.85	1.69	31639.16	2.39
79	564.83	2.078136	1.58	0.019926	0.026679	31536.90	2.23	31735.36	2.25
80	568.12	2.041655	1.58	0.020031	0.026339	31565.70	2.12	31770.06	2.70
81	571.42	2.001270	1.58	0.019908	0.026882	31524.95	2.32	31732.16	2.86
82	574.71	1.956349	1.58	0.020024	0.026546	31405.60	2.26	31611.76	2.32
83	578.01	1.910027	1.58	0.019908	0.026392	31233.25	2.22	31438.96	2.52
84	581.31	1.863705	1.58	0.020037	0.026403	31037.85	2.08	31239.86	3.14
85	584.60	1.820706	1.58	0.019908	0.026918	30855.40	2.29	31060.96	2.69
86	587.90	1.781904	1.58	0.020035	0.026795	30722.40	2.10	30929.56	2.86
87	591.20	1.748940	1.58	0.019913	0.027176	30663.95	2.21	30868.76	2.74
88	594.49	1.715773	1.58	0.020039	0.026677	30557.00	2.25	30760.66	3.66
89	597.79	1.682064	1.58	0.019902	0.026584	30408.30	2.28	30615.76	2.70
