!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-06-27 09:41:12

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_717

[PANEL_ID]
SG3151_2019

[DEVICE]
SAM_8166

# Correlated color temperature (K)
[LAMP_CCT]
2990.7

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
514.50	0.00	72.9678	1.23
515.00	0.00	73.2583	1.23
515.50	0.00	73.5491	1.23
516.00	0.00	73.8401	1.23
516.50	0.00	74.1313	1.23
517.00	0.00	74.4227	1.23
517.50	0.00	74.7143	1.23
518.00	0.00	75.0062	1.23
518.50	0.00	75.2982	1.23
519.00	0.00	75.5904	1.23
519.50	0.00	75.8828	1.23
520.00	0.00	76.1754	1.23
520.50	0.00	76.4682	1.23
521.00	0.00	76.7612	1.23
521.50	0.00	77.0544	1.23
522.00	0.00	77.3477	1.23
522.50	0.00	77.6412	1.23
523.00	0.00	77.9349	1.23
523.50	0.00	78.2287	1.23
524.00	0.00	78.5227	1.23
524.50	0.00	78.8168	1.23
525.00	0.00	79.1111	1.23
525.50	0.00	79.4056	1.23
526.00	0.00	79.7002	1.23
526.50	0.00	79.9949	1.23
527.00	0.00	80.2898	1.23
527.50	0.00	80.5848	1.23
528.00	0.00	80.8799	1.23
528.50	0.00	81.1752	1.23
529.00	0.00	81.4706	1.23
529.50	0.00	81.7661	1.23
530.00	0.00	82.0617	1.23
530.50	0.00	82.3574	1.23
531.00	0.00	82.6533	1.23
531.50	0.00	82.9492	1.23
532.00	0.00	83.2453	1.23
532.50	0.00	83.5414	1.23
533.00	0.00	83.8376	1.23
533.50	0.00	84.1340	1.23
534.00	0.00	84.4304	1.23
534.50	0.00	84.7269	1.23
535.00	0.00	85.0235	1.23
535.50	0.00	85.3201	1.23
536.00	0.00	85.6168	1.23
536.50	0.00	85.9136	1.23
537.00	0.00	86.2105	1.23
537.50	0.00	86.5074	1.23
538.00	0.00	86.8044	1.23
538.50	0.00	87.1014	1.23
539.00	0.00	87.3985	1.23
539.50	0.00	87.6957	1.23
540.00	0.00	87.9928	1.23
540.50	0.00	88.2900	1.23
541.00	0.00	88.5873	1.23
541.50	0.00	88.8846	1.23
542.00	0.00	89.1819	1.23
542.50	0.00	89.4792	1.23
543.00	0.00	89.7766	1.23
543.50	0.00	90.0740	1.23
544.00	0.00	90.3714	1.23
544.50	0.00	90.6688	1.23
545.00	0.00	90.9662	1.23
545.50	0.00	91.2636	1.23
546.00	0.00	91.5611	1.23
546.50	0.00	91.8585	1.23
547.00	0.00	92.1559	1.23
547.50	0.00	92.4533	1.23
548.00	0.00	92.7507	1.23
548.50	0.00	93.0481	1.23
549.00	0.00	93.3454	1.23
549.50	0.00	93.6428	1.23
550.00	0.00	93.9401	1.23
550.50	0.00	94.2374	1.23
551.00	0.00	94.5346	1.23
551.50	0.00	94.8318	1.23
552.00	0.00	95.1290	1.23
552.50	0.00	95.4261	1.23
553.00	0.00	95.7232	1.23
553.50	0.00	96.0202	1.23
554.00	0.00	96.3172	1.23
554.50	0.00	96.6141	1.23
555.00	0.00	96.9110	1.23
555.50	0.00	97.2078	1.23
556.00	0.00	97.5045	1.23
556.50	0.00	97.8012	1.23
557.00	0.00	98.0978	1.23
557.50	0.00	98.3943	1.23
558.00	0.00	98.6907	1.23
558.50	0.00	98.9871	1.23
559.00	0.00	99.2833	1.23
559.50	0.00	99.5795	1.23
560.00	0.00	99.8756	1.23
560.50	0.00	100.1716	1.23
561.00	0.00	100.4675	1.23
561.50	0.00	100.7632	1.23
562.00	0.00	101.0589	1.23
562.50	0.00	101.3545	1.23
563.00	0.00	101.6500	1.23
563.50	0.00	101.9453	1.23
564.00	0.00	102.2405	1.23
564.50	0.00	102.5356	1.23
565.00	0.00	102.8306	1.23
565.50	0.00	103.1255	1.23
566.00	0.00	103.4202	1.23
566.50	0.00	103.7148	1.23
567.00	0.00	104.0092	1.23
567.50	0.00	104.3035	1.23
568.00	0.00	104.5977	1.23
568.50	0.00	104.8917	1.23
569.00	0.00	105.1856	1.23
569.50	0.00	105.4793	1.23
570.00	0.00	105.7729	1.23
570.50	0.00	106.0663	1.23
571.00	0.00	106.3595	1.23
571.50	0.00	106.6526	1.23
572.00	0.00	106.9455	1.23
572.50	0.00	107.2383	1.23
573.00	0.00	107.5308	1.23
573.50	0.00	107.8232	1.23
574.00	0.00	108.1155	1.23
574.50	0.00	108.4075	1.23
575.00	0.00	108.6994	1.23
575.50	0.00	108.9910	1.23
576.00	0.00	109.2825	1.23
576.50	0.00	109.5738	1.23
577.00	0.00	109.8649	1.23
577.50	0.00	110.1558	1.23
578.00	0.00	110.4464	1.23
578.50	0.00	110.7369	1.23
579.00	0.00	111.0272	1.23
579.50	0.00	111.3173	1.23
580.00	0.00	111.6071	1.23
580.50	0.00	111.8967	1.23
581.00	0.00	112.1862	1.23
581.50	0.00	112.4754	1.23
582.00	0.00	112.7643	1.23
582.50	0.00	113.0531	1.23
583.00	0.00	113.3416	1.23
583.50	0.00	113.6299	1.23
584.00	0.00	113.9180	1.23
584.50	0.00	114.2058	1.23
585.00	0.00	114.4933	1.23
585.50	0.00	114.7807	1.23
586.00	0.00	115.0678	1.23
586.50	0.00	115.3546	1.23
587.00	0.00	115.6412	1.23
587.50	0.00	115.9276	1.23
588.00	0.00	116.2137	1.23
588.50	0.00	116.4995	1.23
589.00	0.00	116.7851	1.23
589.50	0.00	117.0704	1.23
590.00	0.00	117.3554	1.23
590.50	0.00	117.6402	1.23
591.00	0.00	117.9247	1.23
591.50	0.00	118.2089	1.23
592.00	0.00	118.4929	1.23
592.50	0.00	118.7766	1.23
593.00	0.00	119.0600	1.23
593.50	0.00	119.3431	1.23
594.00	0.00	119.6260	1.23
594.50	0.00	119.9085	1.23
595.00	0.00	120.1908	1.23
595.50	0.00	120.4728	1.23
596.00	0.00	120.7544	1.23
596.50	0.00	121.0358	1.23
597.00	0.00	121.3169	1.23
597.50	0.00	121.5977	1.23
598.00	0.00	121.8782	1.23
598.50	0.00	122.1584	1.23
599.00	0.00	122.4383	1.23
599.50	0.00	122.7178	1.23
600.00	0.00	122.9971	1.23
600.50	0.00	123.2760	1.23
601.00	0.00	123.5547	1.23
601.50	0.00	123.8330	1.23
602.00	0.00	124.1110	1.23
602.50	0.00	124.3887	1.23
603.00	0.00	124.6660	1.23
603.50	0.00	124.9430	1.23
604.00	0.00	125.2197	1.23
604.50	0.00	125.4961	1.23
605.00	0.00	125.7721	1.23
605.50	0.00	126.0478	1.23
606.00	0.00	126.3232	1.23
606.50	0.00	126.5982	1.23
607.00	0.00	126.8729	1.23
607.50	0.00	127.1473	1.23
608.00	0.00	127.4213	1.23
608.50	0.00	127.6949	1.23
609.00	0.00	127.9682	1.23
609.50	0.00	128.2412	1.23
610.00	0.00	128.5138	1.23
610.50	0.00	128.7861	1.23
611.00	0.00	129.0580	1.23
611.50	0.00	129.3295	1.23
612.00	0.00	129.6007	1.23
612.50	0.00	129.8715	1.23
613.00	0.00	130.1420	1.23
613.50	0.00	130.4121	1.23
614.00	0.00	130.6819	1.23
614.50	0.00	130.9512	1.23
615.00	0.00	131.2202	1.23
615.50	0.00	131.4889	1.23
