# Example data set collected in the Marsdiep at the NIOZ jetty
#
# This row is empty
# This row is empty
# Location: South of Texel island, the Netherlands
# Latitude: 53.001788
# Longitude:  4.789151
# Date, Time: 4/9/2023, 14:40:00 UTC
# Secchi Depth, [m]: n. a.
# Air Temperature, [degC]: n. a.
# Sea Temperature, [degC]: n. a.
# Wind Speed, [m/s]: 5.4
# Wind Direction, [deg]: n. a.
# Depth, [m]: n. a.
# 
"Wavelength, [nm]","Sky Radiance, [mW/(m^2 nm sr)]","Upwelling Radiance, [mW/(m^2 nm sr)]","Downwelling Irradiance, [mW/(m^2 nm)]"
494,46.366,6.8393,711.57
495,46.176,6.892,713.38
496,45.987,6.9269,712.17
497,45.676,6.9518,710.3
498,45.361,6.9768,708.43
499,45.046,7.0017,706.33
500,44.761,7.0266,703.99
501,44.495,7.0516,701.64
502,44.228,7.0765,699.67
503,43.978,7.1237,700.05
504,43.779,7.1718,700.43
505,43.579,7.2198,700.82
506,43.38,7.2652,701.57
507,43.152,7.3089,702.41
508,42.921,7.3526,703.26
509,42.69,7.3852,702.52
510,42.373,7.3906,699.81
511,41.981,7.3959,697.11
512,41.588,7.4012,694.1
513,41.196,7.3891,688.49
514,40.81,7.3761,682.89
515,40.423,7.3631,677.28
516,40.036,7.3775,674.62
517,39.815,7.4094,672.89
518,39.632,7.4413,671.15
519,39.448,7.4876,671.5
520,39.337,7.5726,674.73
521,39.312,7.6577,677.96
522,39.288,7.7427,681.16
523,39.263,7.825,683.98
524,39.241,7.9071,686.79
525,39.219,7.9891,689.61
526,39.197,8.0646,691.9
527,39.155,8.1356,694.01
528,39.107,8.2066,696.11
529,39.059,8.2765,698.18
530,38.995,8.3435,700.19
531,38.903,8.4104,702.21
532,38.811,8.4774,704.12
533,38.718,8.5185,704.02
534,38.547,8.5571,703.92
535,38.375,8.5957,703.82
536,38.204,8.6267,702.82
537,38.024,8.652,701.45
538,37.839,8.6773,700.08
539,37.654,8.7037,698.92
540,37.478,8.7337,698.14
541,37.32,8.7636,697.36
542,37.162,8.7935,696.6
543,37.005,8.8363,697.23
544,36.905,8.8807,697.86
545,36.809,8.925,698.49
546,36.712,8.9697,699.16
547,36.6,9.0148,699.83
548,36.477,9.0599,700.51
549,36.354,9.103,700.95
550,36.222,9.139,700.92
551,36.062,9.175,700.89
552,35.902,9.211,700.86
553,35.742,9.2344,699.13
554,35.553,9.256,697.38
555,35.36,9.2775,695.62
556,35.167,9.2955,693.62
557,34.967,9.3103,691.49
558,34.761,9.3251,689.35
559,34.554,9.3406,687.42
560,34.352,9.3588,685.97
561,34.171,9.3771,684.52
562,33.989,9.3953,683.06
563,33.808,9.4065,681.6
564,33.628,9.4165,680.14
565,33.447,9.4266,678.67
566,33.267,9.4284,676.93
567,33.094,9.4226,675.02
568,32.931,9.4168,673.12
569,32.769,9.4102,671.44
570,32.609,9.3996,670.33
571,32.481,9.3891,669.23
572,32.354,9.3785,668.12
573,32.227,9.3656,667.83
574,32.123,9.3522,667.58
575,32.028,9.3388,667.34
576,31.934,9.321,667.88
577,31.851,9.2989,668.94
578,31.788,9.2768,670
579,31.725,9.2506,671.09
580,31.66,9.2023,672.28
581,31.52,9.154,673.46
582,31.38,9.1056,674.64
583,31.24,9.0067,672.01
584,31.062,8.8965,669.05
585,30.863,8.7863,666.08
586,30.665,8.66,661.96
587,30.467,8.5162,657
588,30.271,8.3724,652.05
589,30.074,8.2306,647.81
590,29.878,8.1016,645.83
591,29.735,7.9726,643.86
592,29.595,7.8436,641.88
593,29.454,7.7233,642.84
594,29.351,7.6052,644.11
595,29.273,7.4871,645.39
596,29.195,7.3671,646.84
597,29.127,7.245,648.44
598,29.091,7.123,650.03
599,29.055,7.0025,651.67
600,29.018,6.894,653.45
601,28.986,6.7855,655.24
602,28.954,6.677,657.02
603,28.922,6.5891,658.11
604,28.872,6.507,659.1
605,28.806,6.4248,660.1
606,28.741,6.3516,660.23
607,28.666,6.2894,659.66
608,28.552,6.2273,659.08
609,28.438,6.1665,658.23
610,28.324,6.1173,656.33
611,28.19,6.0681,654.42
612,28.052,6.0189,652.52
613,27.915,5.9782,651.04
614,27.783,5.9402,649.62
615,27.657,5.9022,648.2
616,27.532,5.8674,647.2
617,27.408,5.837,646.55
618,27.295,5.8065,645.91
619,27.182,5.7759,645.19
620,27.069,5.744,644.12
621,26.923,5.7121,643.05
622,26.767,5.6801,641.98
623,26.612,5.6393,639.46
624,26.438,5.5955,636.7
625,26.24,5.5517,633.94
626,26.041,5.5093,631.26
627,25.848,5.4687,628.64
628,25.709,5.4281,626.02
629,25.57,5.389,623.79
630,25.431,5.3671,623.24
631,25.352,5.3453,622.68
632,25.296,5.3235,622.13
