# Example data set collected in the Marsdiep at the NIOZ jetty
#
# This row is empty
# This row is empty
# Location: South of Texel island, the Netherlands
# Latitude: 53.001788
# Longitude:  4.789151
# Date, Time: 4/9/2023, 9:40:00 UTC
# Secchi Depth, [m]: n. a.
# Air Temperature, [degC]: n. a.
# Sea Temperature, [degC]: n. a.
# Wind Speed, [m/s]: 5.4
# Wind Direction, [deg]: n. a.
# Depth, [m]: n. a.
# 
"Wavelength, [nm]","Sky Radiance, [mW/(m^2 nm sr)]","Upwelling Radiance, [mW/(m^2 nm sr)]","Downwelling Irradiance, [mW/(m^2 nm)]"
550,126.7,43.97,841.62
551,126.28,44.035,841.53
552,125.86,44.099,841.44
553,125.44,44.098,839.42
554,124.91,44.088,837.4
555,124.36,44.078,835.37
556,123.81,44.052,833.09
557,123.26,44.01,830.66
558,122.7,43.969,828.23
559,122.14,43.934,826.09
560,121.6,43.928,824.6
561,121.14,43.922,823.11
562,120.67,43.915,821.62
563,120.2,43.909,820.14
564,119.73,43.903,818.66
565,119.26,43.897,817.18
566,118.78,43.868,815.44
567,118.35,43.819,813.54
568,117.98,43.77,811.64
569,117.6,43.724,810.01
570,117.23,43.695,809.03
571,116.92,43.666,808.05
572,116.62,43.637,807.07
573,116.31,43.626,806.95
574,116.1,43.618,806.88
575,115.92,43.61,806.81
576,115.74,43.608,807.38
577,115.58,43.611,808.37
578,115.44,43.615,809.36
579,115.3,43.607,810.33
580,115.15,43.537,811.21
581,114.73,43.467,812.09
582,114.31,43.397,812.97
583,113.89,43.174,809.56
584,113.31,42.917,805.78
585,112.65,42.66,802
586,111.98,42.366,797.12
587,111.34,42.032,791.46
588,110.73,41.698,785.79
589,110.13,41.381,780.97
590,109.53,41.17,778.83
591,109.09,40.959,776.68
592,108.67,40.748,774.53
593,108.24,40.608,775.75
594,107.94,40.487,777.34
595,107.73,40.365,778.93
596,107.51,40.258,780.55
597,107.32,40.169,782.2
598,107.23,40.081,783.85
599,107.14,39.996,785.55
600,107.05,39.943,787.41
601,106.93,39.89,789.27
602,106.82,39.837,791.14
603,106.7,39.755,792.12
604,106.53,39.664,793
605,106.32,39.573,793.87
606,106.1,39.456,793.77
607,105.85,39.305,792.88
608,105.45,39.154,791.98
609,105.05,38.999,790.73
610,104.65,38.807,788.16
611,104.21,38.615,785.58
612,103.76,38.423,783.01
613,103.31,38.253,781.2
614,102.87,38.09,779.5
615,102.44,37.926,777.8
616,102.02,37.779,776.56
617,101.61,37.653,775.72
618,101.26,37.527,774.87
619,100.91,37.399,773.97
620,100.56,37.262,772.8
621,100.11,37.125,771.64
622,99.636,36.988,770.47
623,99.157,36.804,767.75
624,98.618,36.605,764.78
625,98,36.406,761.8
626,97.382,36.221,758.9
627,96.782,36.055,756.05
628,96.387,35.89,753.21
629,95.992,35.734,750.76
630,95.597,35.697,750.01
631,95.338,35.659,749.25
632,95.13,35.621,748.5
633,94.921,35.649,749.44
634,94.734,35.699,750.68
635,94.58,35.748,751.92
636,94.427,35.79,753.02
637,94.271,35.818,754.01
638,94.039,35.846,755
639,93.807,35.868,755.68
640,93.574,35.799,755.01
641,93.207,35.73,754.34
642,92.775,35.66,753.67
643,92.344,35.511,751.06
644,91.878,35.332,748.11
645,91.344,35.154,745.16
646,90.809,34.958,741.93
647,90.275,34.734,738.44
648,89.719,34.511,734.96
649,89.163,34.285,731.4
650,88.606,34.03,727.53
651,88.06,33.775,723.66
652,87.52,33.52,719.79
653,86.98,33.287,717.11
654,86.532,33.062,714.62
655,86.304,32.838,712.14
656,86.076,32.677,711.89
657,85.848,32.615,713.7
658,85.939,32.553,715.51
659,86.049,32.496,717.93
660,86.159,32.539,722.99
661,86.249,32.582,728.04
662,86.326,32.625,733.09
663,86.403,32.595,735.54
664,86.432,32.537,737.56
665,86.325,32.479,739.57
666,86.217,32.406,740.36
667,86.109,32.307,740.04
668,85.868,32.209,739.73
669,85.613,32.112,739.31
670,85.358,32.032,738.51
671,85.073,31.952,737.71
672,84.764,31.872,736.9
673,84.455,31.788,736.08
674,84.137,31.704,735.26
675,83.783,31.619,734.43
676,83.429,31.532,733.32
677,83.075,31.443,731.95
678,82.49,31.354,730.58
679,81.874,31.253,728.12
680,81.258,30.957,721.54
681,80.373,30.66,714.96
682,79.255,30.363,708.38
683,78.138,29.927,696.76
684,77.021,29.438,684.46
685,75.91,28.949,672.16
686,74.798,28.515,661.59
687,73.686,28.163,652.42
688,73.071,27.812,643.25
689,72.539,27.483,636.28
690,72.008,27.461,636.85
691,71.756,27.44,637.41
692,71.768,27.418,637.97
693,71.78,27.46,641.35
694,71.794,27.525,645.04
695,71.816,27.59,648.73
696,71.837,27.611,651.16
697,71.859,27.568,652.67
698,71.841,27.524,654.18
699,71.815,27.479,655.53
700,71.788,27.413,656.4
701,71.758,27.348,657.27
702,71.722,27.282,658.14
703,71.687,27.227,659.92
704,71.641,27.177,661.77
705,71.544,27.126,663.62
706,71.447,27.034,664.9
707,71.35,26.883,665.82
708,71.013,26.732,666.74
709,70.624,26.562,665.84
710,70.235,26.188,660.28
711,69.527,25.815,654.73
712,68.48,25.442,649.18
713,67.433,24.872,635.35
714,66.349,24.24,621.16
715,65.059,23.609,606.98
716,63.768,22.992,593.37
717,62.478,22.395,580.08
718,61.5,21.798,566.8
719,60.595,21.234,556.03
720,59.689,20.941,550.72
721,59.051,20.649,545.4
722,58.705,20.356,540.08
723,58.359,20.213,539.54
724,58.067,20.112,539.01
725,58.086,20.01,538.48
726,58.106,19.97,540.53
727,58.125,20.002,543.82
728,58.49,20.035,547.12
729,58.936,20.09,552.22
730,59.381,20.293,560.56
731,59.89,20.496,568.9
732,60.469,20.699,577.23
733,61.048,20.916,585.5
734,61.611,21.138,593.77
735,62.077,21.359,602.04
736,62.542,21.539,608.06
737,63.008,21.675,613.21
738,63.313,21.812,618.37
739,63.582,21.938,622.81
740,63.851,22.013,626.21
741,64.043,22.088,629.62
742,64.152,22.163,632.88
743,64.262,22.216,634.74
744,64.352,22.264,636.6
745,64.338,22.313,638.47
746,64.325,22.318,638.87
747,64.311,22.282,638.86
748,64.033,22.246,638.85
749,63.701,22.182,637.59
750,63.37,22.003,634.89
751,62.668,21.825,632.19
752,61.6,21.646,627.49
753,60.532,21.104,611.58
754,59.225,20.513,595.67
755,56.783,19.922,579.76
756,54.341,19.069,548.89
757,51.9,18.012,515.12
758,49.479,16.955,481.36
759,47.062,15.983,452.55
760,44.645,15.279,428.18
761,43.377,14.576,403.81
762,43.157,13.872,387.19
763,42.938,14.202,398.65
764,43.119,14.618,410.1
765,44.918,15.034,421.56
766,46.718,15.73,448.17
767,48.518,16.61,476.34
768,50.309,17.489,504.51
769,52.1,18.279,527.2
770,53.891,18.848,546.21
771,55.182,19.416,565.22
772,56.068,19.985,580.79
773,56.955,20.201,587.9
774,57.703,20.407,595.01
775,57.987,20.613,602.13
776,58.271,20.712,603.42
777,58.555,20.756,604.62
778,58.553,20.801,605.81
779,58.521,20.806,605.52
780,58.489,20.738,604.52
781,58.333,20.67,603.52
782,58.089,20.6,601.84
783,57.845,20.491,599.01
784,57.578,20.382,596.18
785,57.249,20.273,593.27
786,56.919,20.154,589.17
787,56.589,20.029,585.07
788,56.211,19.905,580.96
789,55.829,19.791,577.28
790,55.448,19.692,573.74
791,55.12,19.593,570.19
792,54.823,19.497,567.37
793,54.526,19.432,565.42
794,54.267,19.368,563.47
795,54.091,19.303,561.63
796,53.915,19.263,560.39
797,53.739,19.23,559.15
798,53.562,19.197,557.92
799,53.385,19.155,556.73
800,53.207,19.104,555.55
801,53.024,19.053,554.37
802,52.837,19.002,553.2
803,52.65,18.946,552.03
804,52.394,18.89,550.86
805,52.02,18.834,548.87
806,51.647,18.671,544.56
807,51.25,18.49,540.25
808,50.475,18.309,535.94
809,49.7,18.027,525.81
810,48.926,17.661,515.46
811,47.972,17.295,505.1
812,46.958,16.925,493.58
813,45.944,16.544,481.48
814,45.041,16.163,469.38
815,44.281,15.782,459.26
816,43.52,15.557,452.52
817,42.827,15.343,445.78
818,42.597,15.129,439.58
819,42.367,15.05,440.02
820,42.137,15.048,440.46
821,42.162,15.047,440.9
822,42.243,15.07,442.96
823,42.325,15.142,445.48
824,42.449,15.215,448
825,42.613,15.287,450.61
826,42.778,15.352,453.32
827,42.946,15.417,456.03
828,43.126,15.482,458.75
829,43.306,15.533,461.46
830,43.486,15.577,464.17
831,43.732,15.622,466.89
832,43.987,15.717,471.25
833,44.241,15.88,475.79
834,44.563,16.043,480.32
835,44.932,16.201,485.05
836,45.301,16.33,489.91
837,45.614,16.459,494.77
838,45.791,16.589,499.11
839,45.967,16.66,502.38
840,46.144,16.72,505.64
841,46.261,16.779,508.8
842,46.378,16.812,509.47
843,46.494,16.821,510.13
844,46.454,16.829,510.8
845,46.341,16.821,509.78
846,46.228,16.755,508.22
847,46.045,16.69,506.66
848,45.75,16.624,504.11
849,45.455,16.521,500.44
850,45.162,16.415,496.78
851,44.899,16.31,493.55
852,44.635,16.24,492.16
853,44.371,16.191,490.76
854,44.32,16.141,489.36
855,44.326,16.115,490.26
856,44.333,16.131,491.39
857,44.363,16.147,492.52
858,44.418,16.162,493.43
859,44.473,16.177,494.21
860,44.494,16.192,494.99
861,44.375,16.207,494.89
862,44.255,16.154,493.13
863,44.135,16.08,491.37
864,43.943,16.007,489.64
865,43.743,15.949,488.36
866,43.543,15.909,487.08
867,43.436,15.869,485.8
868,43.389,15.837,485.75
869,43.342,15.845,486.03
870,43.329,15.852,486.31
871,43.391,15.86,486.7
872,43.454,15.839,487.19
873,43.511,15.814,487.68
874,43.344,15.79,487.97
875,43.177,15.759,487.6
876,43.01,15.724,487.23
877,42.975,15.689,486.86
878,42.988,15.653,486.01
879,43.002,15.614,485.14
880,42.922,15.574,484.27
881,42.722,15.535,483.42
882,42.522,15.487,482.58
883,42.335,15.439,481.74
884,42.216,15.391,480.64
885,42.098,15.305,479.16
886,41.98,15.206,477.68
887,41.7,15.107,475.63
888,41.395,14.962,470.34
889,41.09,14.765,465.04
890,40.462,14.568,459.75
891,39.6,14.343,449.35
892,38.738,13.998,438.25
893,37.825,13.652,427.15
894,36.788,13.306,414.99
895,35.752,12.892,402.16
896,34.719,12.471,389.33
897,34.02,12.05,378.45
898,33.321,11.793,371.3
899,32.621,11.634,364.16
900,32.288,11.476,357.46
901,32.091,11.361,355.97
902,31.893,11.328,354.48
903,31.728,11.296,353
904,31.601,11.258,351.42
905,31.474,11.157,349.82
906,31.281,11.057,348.22
907,30.767,10.956,344.8
908,30.253,10.809,339.88
909,29.739,10.649,334.97
910,29.529,10.49,330.65
911,29.357,10.399,327.76
912,29.185,10.371,324.86
913,29.111,10.343,322.09
914,29.099,10.327,323.01
915,29.087,10.344,323.92
916,29.12,10.362,324.84
917,29.241,10.38,327.77
918,29.363,10.458,331.29
919,29.486,10.537,334.8
920,29.633,10.616,336.05
