!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-06-03 19:33:11

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT0386

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
213	1017.21	8.711E-003	1.800E-003
214	1020.45	8.965E-003	1.874E-003
215	1023.70	9.111E-003	1.813E-003
216	1026.94	9.159E-003	1.855E-003
217	1030.18	9.672E-003	1.577E-003
218	1033.41	9.728E-003	1.628E-003
219	1036.65	8.942E-003	2.092E-003
220	1039.88	9.081E-003	2.127E-003
221	1043.11	9.473E-003	1.790E-003
222	1046.34	8.418E-003	2.550E-003
223	1049.56	9.057E-003	2.328E-003
224	1052.79	9.115E-003	1.995E-003
225	1056.01	7.884E-003	2.635E-003
226	1059.23	8.066E-003	2.983E-003
227	1062.45	7.938E-003	3.195E-003
228	1065.66	7.131E-003	2.782E-003
229	1068.87	6.011E-003	3.087E-003
230	1072.09	6.583E-003	2.692E-003
231	1075.30	5.042E-003	3.751E-003
232	1078.50	5.231E-003	3.373E-003
233	1081.71	5.268E-003	4.256E-003
234	1084.91	3.935E-003	4.981E-003
235	1088.11	4.518E-003	4.514E-003
236	1091.31	4.488E-003	4.237E-003
237	1094.50	2.649E-003	4.916E-003
238	1097.70	2.585E-003	6.141E-003
239	1100.89	2.491E-003	6.016E-003
240	1104.08	6.451E-004	5.470E-003
241	1107.27	9.401E-004	3.919E-003
242	1110.45	1.087E-003	3.047E-003
243	1113.63	7.348E-004	2.483E-003
244	1116.81	5.392E-004	1.433E-003
245	1119.99	1.723E-004	1.328E-003
246	1123.17	-4.298E-004	1.318E-003
247	1126.34	-8.182E-004	1.238E-003
248	1129.51	-6.341E-004	1.589E-003
249	1132.68	-9.526E-004	1.666E-003
250	1135.85	-8.401E-004	1.530E-003
251	1139.01	-8.721E-004	1.485E-003
252	1142.17	-1.195E-003	1.686E-003
253	1145.33	-1.029E-003	9.151E-004
254	1148.49	-9.163E-004	1.239E-003
255	1151.64	-1.263E-003	1.277E-003
[END_OF_CALDATA]
